id,voice_actor
1,38
2,53
3,AI
4,AKIRA
5,Ageha
6,Ah-ya
7,Ame After Dark
8,CAN
9,Coco
10,Coo
11,DWU
12,Dark Dreams
13,EMI
14,HIZIRI
15,JaponeSound
16,Ko Clover
17,KoZue*
18,Kyoka
19,Lin
20,Lune
21,Lynn
22,MAO
23,MI-KO
24,MOMOKA
25,MOMOKA。
26,MOMOKA。（柚木桃香）
27,Machico
28,Mio
29,Myrrh・C
30,M・A・O
31,NAOKA
32,R.M
33,R18お姉さん
34,RIRI
35,Riry@
36,SA.O.RI
37,STELLA
38,Saya
39,Sultry Lamp
40,Sunny
41,TAKU
42,TOKYO SLUTTY GIRL
43,TRUMP
44,Xtrated-Xero.
45,Yu-Nah
46,aiko
47,ajisaihimegu
48,aki
49,amane.
50,ayu
51,cHii
52,chiya
53,eruca*
54,hana
55,hana10
56,kokko
57,magao
58,mai
59,mega
60,mio
61,mochimiyu
62,saori
63,yuayua
64,yucc@
65,yura
66,あ、きのこ
67,あいざわゆう
68,あいはらこはる
69,あかしゆき
70,あかつきあかり
71,あかつき蜜
72,あかみいおり
73,あきそら
74,あきひめ
75,あさかみみ
76,あさぎ
77,あさぎ夕羅
78,あさくら環
79,あじ秋刀魚
80,あず
81,あちゅか@
82,あま裂あづき
83,ありがた〜い私
84,ありがた～い私
85,ありのりあ
86,ありみえ
87,あわびきの子
88,あんこ
89,あんね
90,あんﾘ♪[androije]
91,いくら牛乳
92,いちい
93,いちか
94,いちごぱん
95,いちる
96,いつかいゆ
97,いねむりすやこ
98,いばら
99,いろは乙葉
100,ういの
101,うさこち
102,うさ山うー太
103,うたの
104,うつつ
105,うにさざえ
106,ぇみり
107,えがなぐ
108,えみな
109,えむちゃん
110,えもこ
111,おおきなこびと
112,おすすめアンドロイド
113,おはぎ
114,おみみぷりん
115,お姉さんASMR
116,かしなーた
117,かづき葵
118,かなせ
119,かの仔
120,かほ
121,かみかみナナシ
122,かりん
123,かわしまりの
124,きさらぎゆめは
125,きちゅね
126,くさのまい
127,くすはらゆい
128,くら闇子
129,くるえまみ
130,くろかわ由理
131,くろみ
132,けいの
133,こたつみやこ
134,こっこ
135,ことぶき琴葉
136,ことほぎゆう
137,このえゆずこ
138,こひらレイカ
139,こまちねね
140,こやのそら
141,こやまはる
142,こゆこゆ
143,こりす
144,ごま豆乳
145,さきゅばのえ
146,さくら　もちこ
147,さくら真咲
148,さやまひさこ
149,しおこ
150,しおりさん（OL・仮名）
151,しおりさん（仮名）
152,しこたま倶楽部
153,ししゃも
154,しづく
155,しゃもも
156,しゃるろ
157,しょこら
158,しらかわ由理
159,しりかげる
160,しろあまね
161,しろいたち
162,しろいねこな
163,じーえふママ
164,すあま
165,すしぽもる
166,すずきあすか
167,すずな
168,せやなせや
169,せら!
170,そよかぜみらい
171,そよかぜアメ
172,そらまめ。
173,たかしろ　まや
174,たかはし智秋
175,たくみみえ
176,たまこ
177,たまちゃん
178,だも子。
179,ちぁむ
180,ちぐさくん
181,ちさと
182,ちむちむ
183,ちゆ
184,ちょこ
185,ちるひ
186,てのひら
187,てふてふ。
188,てんしナチュラル
189,てんちむ
190,とうきょー
191,とおのおと
192,とがりかも
193,ととと
194,とらんす
195,とろぴこ
196,なぃとめあ
197,なかせひな
198,なかたににいな
199,なごあかね
200,なたでこころ
201,なちぽよ
202,なつめ
203,ななさま
204,なんなん
205,にあ
206,にころまき
207,にしだあきら
208,にゃっぽ
209,にゃるポムポム
210,にゃんにゃん
211,ねこのみみ子
212,のぐちゆり
213,のっち
214,のの
215,ののはらめぐる
216,のん
217,のんちゃん
218,はざくらさくら
219,はせべ倫世
220,はっさくあかり
221,はつみまこと
222,はづき
223,はなまき.
224,はやかわあい
225,はらぺこちゃん
226,はるかぜ。
227,ばにぃ
228,ばみゆ
229,ひぐらしかなみ
230,ひとふたきり
231,ひと仔
232,ひなうさ
233,ひなこ。
234,ひなとりすずめ
235,ひむろゆり
236,ひめりんご
237,ひより
238,ぴのぴ
239,ふくぱん
240,ぷちゃ
241,ほしまるななか
242,ほしみやみみか
243,ほりっく＊
244,ぽぽんねる
245,ぽよまな
246,まきいづみ
247,まこと。
248,まさきふぁん
249,ましゅまろ。
